Green Solutions Manufacturing Ltd.,,,
Report,,,
,Actual,Actual,
£'M,31-Dec-22,31-Dec-23,Comments
Financial Performance,  ,,
Total Revenue,  32 ,  54 ," Revenue increased by 70.7% year-over-year, showing strong top-line growth. "
EBITDA,  1 ,  6 ," EBITDA grew significantly by 269.7%, indicating improved operational efficiency. "
Net Interest Expense,  (1),  (0)," Net interest expense decreased by 56.1%, reducing financial burden. "
Net Profit/(Loss) Before Tax,  1 ,  6 , Net profit before tax increased by 449.7%. 
Net Profit/(Loss) After Tax,  1 ,  6 ," Net profit after tax increased by 554.8%, reflecting strong overall performance. "
,,,
Financial Position,,,
Total Assets (Including Intangibles),  52 ,  62 ," Total assets grew by 19.1%, driven by increases in inventory and other assets. "
Total Tangible Assets (TTA),  52 ,  62 , Total tangible assets grew by 19.5%. 
Inventories ,  4 ,  6 ," Inventories increased by 40.4%, possibly to support higher sales volume. "
Cash and cash equivalents,  19 ,  18 , Cash and cash equivalents decreased by 9.3%. 
Total Liabilities,  28 ,  31 ," Total liabilities increased by 7.5%, growing at a slower pace than assets. "
Net Worth (inc intangibles) (NW),  24 ,  32 ," Net worth increased by 33.1%, strengthening the equity base. "
Tangible Net Worth (TNW),  23 ,  31 , Tangible net worth increased by 34.1%. 
,,,
Cash Flows,,,
Net Cash in/(out)flow from operating activities,  6 ,  11 ," Operating cash flow increased by 92.6%, reflecting better cash generation from core operations. "
Capital Expenditure,"  (3,242)","  (8,014)"," Capital expenditure increased significantly, indicating major investments. "
Free Cash Flow,"  (3,236)","  (8,003)", Free cash flow decreased due to the substantial increase in capital expenditures. 
,,,
Ratios ,,,
EBITDA Margin,4.7%,10.3%,"EBITDA margin improved from 4.7% to 10.3%, showing better profitability."
Operating Margin,  0.06 ,  0.12 , Operating margin improved from 6.3% to 12.1%. 
EBITDA Net Interest Cover (x) ,  2.08 ,  17.53 ," Interest coverage improved significantly from 2.1x to 17.5x, showing strong ability to service debt. "
Current Ratio i.e. Current Assets / Current Liabilities (%),  1.88 ,  1.38 ," Current ratio decreased from 1.88x to 1.38x, but remains at a healthy liquidity level. "
Leverage Metric,  7.82 ,  1.24 ," Leverage metric decreased from 7.8x to 1.2x, indicating a healthier debt position relative to earnings. "
Net Leverage,  (5.15),  (1.94), Net leverage improved from -5.2x to -1.9x. 
Cash flow to capital expenditures (CF/CapEX),-0.18%,-0.14%," CF/CapEx ratio remains negative, as CapEx significantly exceeds operating cash flow. "
